P0711,KITOMONDO  CENTRE,
P0712,BARIADI  CENTRE,
P0713,IGUNGA  CENTRE,
P0714,KABUKU  CENTRE,
P0716,MALECELA  CENTRE,
P0717,LAELA  CENTRE,
P0718,NYANSINCHA  CENTRE,
P0719,MASONGA  CENTRE,
P0725,NEWMAN  CENTRE,
P0726,MBEKENYERA  CENTRE,
P0727,MKWAJUNI  CENTRE,
P0731,MAKONGO  CENTRE,
P0735,KATUMBA  CENTRE,
P0737,KIWANI  CENTRE,
P0738,RIDHWAA SEMINARY CENTRE,
P0739,HIJRA  CENTRE,
P0740,ALI HASSAN MWINYI  CENTRE,
P0741,ITENDE  CENTRE,
P0742,BULONGWA  CENTRE,
P0743,KAMBARAGE  CENTRE,
P0744,NANGA  CENTRE,
P0746,MNYAMBE  CENTRE,
P0748,KAWAWA  CENTRE,
P0750,OSHARA  CENTRE,
P0751,RUHUWIKO  CENTRE,
P0752,RUNZEWE  CENTRE,
P0755,MUKULAT  CENTRE,
P0758,KIJOTA  CENTRE,
P0759,GAIRO  CENTRE,
P0760,BUKOLI  CENTRE,
P0763,NGANA  CENTRE,
P0764,IZIGO  CENTRE,
P0766,KIMAMBA  CENTRE,
P0769,MALAGARASI  CENTRE,
P0770,SUMVE HIGH SCHOOL CENTRE,
P0771,ASKOFU ADRIANI MKOBA  CENTRE,
P0775,DUMILA  CENTRE,
P0781,ARUSHA DAY  CENTRE,
P0785,DAR ES SALAAM CHRISTIAN SEMINARY CENTRE,
P0786,NDONO  CENTRE,
P0789,NGULU  CENTRE,
P0791,KIGAMBONI  CENTRE,
P0792,MANGAKA  CENTRE,
P0796,MCHANGA MDOGO  CENTRE,
P0797,BUNDA TEACHER'S COLLEGE CENTRE,
P0798,KOROGWE TEACHERS COLLEGE CENTRE,
P0802,MAKANYA  CENTRE,
P0804,D.C.T. MVUMI  CENTRE,
P0806,CITY  CENTRE,
P0809,MAMBA  CENTRE,
P0812,MAHIWA  CENTRE,
P0815,MBINGA  CENTRE,
P0821,NYANDUGA  CENTRE,
P0823,THAQAAFA  CENTRE,
P0824,IDETE  CENTRE,
P0829,MAARIFA TANDIKA  CENTRE,
P0832,KIPONDA  CENTRE,
P0833,JANG'OMBE  CENTRE,
P0834,PANDANI  CENTRE,
P0835,KENGEJA TECHNICAL  CENTRE,
P0836,KILUVYA  CENTRE,
P0839,NGERENGERE  CENTRE,
P0841,HUMURA  CENTRE,
P0844,THAQALAIN ISLAMIC SEMINARY CENTRE,
P0846,UKOMBOZI  CENTRE,
P0849,MOREMBE DAY  CENTRE,
P0850,MKOMBOZI  CENTRE,
P0851,USANGI DAY  CENTRE,
P0853,KIZWITE  CENTRE,
P0854,NYANGAO  CENTRE,
P0857,LONGIDO  CENTRE,
P0863,MWADUI TECHNICAL  CENTRE,
P0864,NAHIMBA  CENTRE,
P0872,NDUNGU  CENTRE,
P0879,KATURU  CENTRE,
P0880,KAIGARA  CENTRE,
P0882,SONGEA MUSLIM SEMINARY CENTRE,
P0886,SEMKIWA  CENTRE,
P0887,INYONGA  CENTRE,
P0889,TWAYYIBAT SEMINARY CENTRE,
P0895,MWAYA  CENTRE,
P0897,KILIMANJARO MAHADIL ISLAMIYYA CENTRE,
P0903,MIKUMI  CENTRE,
P0904,KONGWA  CENTRE,
P0905,SONI  CENTRE,
P0907,ZINGIBARI  CENTRE,
P0909,NAZARENE  CENTRE,
P0912,BOGWE  CENTRE,
P0913,USONGWE  CENTRE,
P0916,CHALAO  CENTRE,
P0920,PAKULA  CENTRE,
P0921,DR. SALMIN AMOUR  CENTRE,
P0922,MWINYI  CENTRE,
P0924,IKUNGI  CENTRE,
P0928,GIDAS  CENTRE,
P0929,FUNGUNI  CENTRE,
P0930,NGATEU  CENTRE,
P0932,KITULI  CENTRE,
P0933,BASHNET  CENTRE,
P0936,KALIUA  CENTRE,
P0938,MBEZI BEACH  CENTRE,
P0939,NKOKASHU  CENTRE,
P0947,DR OLSEN  CENTRE,
P0948,BUMANGI  CENTRE,
P0951,MLOWA BARABARANI  CENTRE,
P0952,MANG'ULA  CENTRE,
P0955,ISAGEHE  CENTRE,
P0956,ILEMBO  CENTRE,
P0965,USHIROMBO  CENTRE,
P0967,MLOLE  CENTRE,
P0973,EINOTI  CENTRE,
P0975,NGURUKA  CENTRE,
P0978,DIGODIGO  CENTRE,
P0979,MATOLO  CENTRE,
P0986,AKERI  CENTRE,
P0989,KIBARA  CENTRE,
P0994,MAWASILIANO UJENZI  CENTRE,
P0997,MBUGUNI  CENTRE,
P1000,WINGWI  CENTRE,
P1005,KISHIMBA  CENTRE,
P1007,VIKINDU T C CENTRE,
P1008,ST.MAURUS-CHEMCHEM CENTRE,
P1009,BABATI DAY  CENTRE,
P1011,CHANG'OMBE  CENTRE,
P1014,GALAPO  CENTRE,
P1018,PUGE  CENTRE,
P1024,YOMBO TECHNICAL  CENTRE,
P1027,CHAMWINO  CENTRE,
P1029,NASSA  CENTRE,
P1031,MARUKU  CENTRE,
P1032,ITIGI  CENTRE,
P1042,MUNGAA  CENTRE,
P1043,TUKUYU  CENTRE,
P1044,ECKERNFORDE TEACHERS COLLEGE CENTRE,
P1046,TUMBATU  CENTRE,
P1048,MWANAKWEREKWE  CENTRE,
P1051,MKOLANI  CENTRE,
P1052,IBUNGILA  CENTRE,
P1055,SOUTHERN HIGHLANDS  CENTRE,
P1066,NTUZU  CENTRE,
P1067,BISHOP ALPHA MEMORIAL  CENTRE,
P1072,KAMENE  CENTRE,
P1074,KITANGIRI  CENTRE,
P1077,OCEAN  CENTRE,
P1078,NUR ISLAMIC SEMINARY CENTRE,
P1079,CHIKUYU  CENTRE,
P1080,MUHEZA MUSLIM  CENTRE,
P1081,WAMO I.A.E.  CENTRE,
P1084,VUMA  CENTRE,
P1086,LUDEWA  CENTRE,
P1088,TUMBI  CENTRE,
P1089,KILIMATINDE  CENTRE,
P1093,ALDERGATE  CENTRE,
P1099,NYEHUNGE  CENTRE,
P1107,MWAMASHIMBA  CENTRE,
P1110,KALOLENI  CENTRE,
P1114,SHELUI  CENTRE,
P1119,ZANZIBAR COMMERCIAL  CENTRE,
P1124,KIGARAMA  CENTRE,
P1125,ENYOITO  CENTRE,
P1127,BUGANDO  CENTRE,
P1130,KIZAGA  CENTRE,
P1133,BOMBO  CENTRE,
P1140,MWL NYERERE  CENTRE,
P1147,SINON  CENTRE,
P1153,BUSERESERE  CENTRE,
P1156,TEMEKE TEACHER'S RESOURCE CENTRE,
P1157,IWAWA  CENTRE,
P1161,MAWELEWELE  CENTRE,
P1164,MISSUNGWI  CENTRE,
P1170,NDIJANI  CENTRE,
P1171,BUBUBU  CENTRE,
P1172,NIANJEMA  CENTRE,
P1177,MAMIRE  CENTRE,
P1181,SENGE  CENTRE,
P1182,ULYANKULU  CENTRE,
P1183,SANYA JUU  CENTRE,
P1185,BAPTIST  CENTRE,
P1186,MAKITA  CENTRE,
P1188,NELUKA  CENTRE,
P1196,KIKUYU  CENTRE,
P1198,TANZANIA ADVENTIST  CENTRE,
P1199,MADABA  CENTRE,
P1200,EDUCARE  CENTRE,
P1202,MTERA  CENTRE,
P1203,IGANZO  CENTRE,
P1204,UYOLE  CENTRE,
P1211,KATESH  CENTRE,
P1220,MSAMALA  CENTRE,
P1222,KIHONDA  CENTRE,
P1223,KIMALI  CENTRE,
P1227,MISASI  CENTRE,
P1229,URAKI  CENTRE,
P1240,DAKAMA  CENTRE,
P1243,BISHOP KISANJI  CENTRE,
P1246,MIDLAND  CENTRE,
P1249,SIMBEGA  CENTRE,
