S/N,REGION,COUNCIL,SCHOOL NAME,Reg#," July, 2022 "," Augut, 2022 "," September, 2022 "," October, 2022 "," November, 2022 "," December, 2022 "," January, 2023 "," February, 2023 "," March, 2023 "," April, 2023 "," May, 2023 "," June, 2023 ", TOTAL 
43,Arusha,Arusha CC, SUYE , EM.10551 ,"604,167.41","600,929.76","599,890.37","596,237.80","595,903.00","594,714.00","594,224.00","593,745.00","593,196.00","593,196.00","593,196.00","593,075.00","7,152,474.34"
44,Arusha,Arusha CC, TERRAT , EM.2532 ,"1,216,107.13","1,209,590.18","1,379,139.85","1,370,742.65","1,369,974.00","1,367,240.00","1,366,113.00","1,365,012.00","1,363,751.00","1,363,751.00","1,363,751.00","1,363,472.00","16,098,643.81"
45,Arusha,Arusha CC, THEMI , EM.2755 ,"741,996.34","738,020.09","687,036.61","684,867.74","684,484.00","683,118.00","682,555.00","682,004.00","681,374.00","681,374.00","681,374.00","681,235.00","8,309,438.78"
46,Arusha,Arusha CC, UHURU , EM.295 ,"804,174.80","799,865.34","866,395.72","861,120.47","860,638.00","858,920.00","858,212.00","857,520.00","856,728.00","856,728.00","856,728.00","856,553.00","10,193,583.34"
47,Arusha,Arusha CC, UKOMBOZI , EM.13039 ,"2,134,793.94","2,123,353.88","2,139,136.10","2,126,111.48","2,124,919.00","2,120,679.00","2,118,931.00","2,117,222.00","2,115,266.00","2,115,266.00","2,115,266.00","2,114,834.00","25,465,778.40"
48,Arusha,Arusha CC, UNGA LTD , EM.8896 ,"1,132,166.20","1,126,099.08","1,098,954.57","1,092,263.34","1,091,651.00","1,089,473.00","1,088,574.00","1,087,697.00","1,086,692.00","1,086,692.00","1,086,692.00","1,086,470.00","13,153,424.19"
49,Arusha,Arusha CC, WEMA , EM.13515 ,"326,955.09","325,202.98","336,931.67","334,880.18","334,692.00","334,025.00","333,749.00","333,480.00","333,172.00","333,172.00","333,172.00","333,104.00","3,992,535.93"
50,Arusha,Arusha DC, BANGATA , EM.1865 ,"264,776.63","263,357.73","249,278.77","247,760.98","247,622.00","247,128.00","246,924.00","246,725.00","246,497.00","246,497.00","246,497.00","246,447.00","2,999,511.10"
51,Arusha,Arusha DC, BWAWANI , EM.4030 ,"260,113.24","258,719.33","233,065.51","232,150.02","232,020.00","231,557.00","231,366.00","231,179.00","230,966.00","230,966.00","230,966.00","230,919.00","2,833,987.11"
52,Arusha,Arusha DC, EKENYWA , EM.11557 ,"454,939.10","452,501.14","454,984.42","456,242.78","455,987.00","455,077.00","454,702.00","454,335.00","453,916.00","453,916.00","453,916.00","453,823.00","5,454,339.43"
53,Arusha,Arusha DC, EMAOI , EM.6937 ,"525,926.18","523,107.81","567,970.53","567,030.21","566,712.00","565,581.00","565,115.00","564,659.00","564,138.00","564,138.00","564,138.00","564,023.00","6,702,538.72"
54,Arusha,Arusha DC, ENDOINYOESOYE , EM.6938 ,"409,859.71","407,663.33","420,531.26","417,970.76","417,736.00","416,903.00","416,559.00","416,223.00","415,839.00","415,839.00","415,839.00","415,754.00","4,986,717.05"
55,Arusha,Arusha DC, ENGALAONI , EM.4031 ,"650,283.11","646,798.33","686,529.94","684,364.16","683,980.00","682,616.00","682,053.00","681,503.00","680,873.00","680,873.00","680,873.00","680,734.00","8,121,480.54"
56,Arusha,Arusha DC, ENGEDEKO , EM.19071 ,"136,274.47","135,544.19","151,492.58","150,570.19","150,486.00","150,185.00","150,062.00","149,941.00","149,802.00","149,802.00","149,802.00","149,772.00","1,773,733.43"
57,Arusha,Arusha DC, ENGIKARETI , EM.14567 ,"243,532.32","242,227.26","252,318.75","250,782.45","250,642.00","250,142.00","249,935.00","249,734.00","249,503.00","249,503.00","249,503.00","249,452.00","2,987,274.79"
58,Arusha,Arusha DC, ENGORIKA , EM.12373 ,"602,094.80","598,868.25","617,623.61","613,863.07","613,519.00","612,295.00","611,790.00","611,296.00","610,732.00","610,732.00","610,732.00","610,607.00","7,324,152.74"
59,Arusha,Arusha DC, ENGUTUKOIT , EM.10548 ,"197,934.78","196,874.07","206,212.31","204,956.74","204,842.00","204,433.00","204,265.00","204,100.00","203,911.00","203,911.00","203,911.00","203,870.00","2,439,220.91"
60,Arusha,Arusha DC, ENJORO , EM.13505 ,"330,064.01","328,295.25","313,625.12","324,305.02","324,123.00","323,476.00","323,210.00","322,949.00","322,651.00","322,651.00","322,651.00","322,585.00","3,880,585.40"
61,Arusha,Arusha DC, ENYUATA , EM.7602 ,"467,892.94","465,385.57","451,437.77","451,206.98","450,954.00","450,054.00","449,683.00","449,320.00","448,905.00","448,905.00","448,905.00","448,814.00","5,431,463.27"
62,ARUSHA,ARUSHA DC, ERETO , EM.18183 ,"118,139.08","117,505.99","122,612.73","121,866.17","121,798.00","121,555.00","121,455.00","121,357.00","121,245.00","121,245.00","121,245.00","121,220.00","1,451,243.97"
63,Arusha,Arusha DC, EUNOTO , EM.14965 ,"349,235.71","347,364.20","361,758.21","359,555.57","359,354.00","358,637.00","358,341.00","358,052.00","357,722.00","357,722.00","357,722.00","357,648.00","4,283,111.69"
64,Arusha,Arusha DC, ILBORU , EM.656 ,"890,188.35","885,417.95","918,075.46","923,060.72","922,543.00","920,702.00","919,943.00","919,201.00","918,352.00","918,352.00","918,352.00","918,165.00","10,972,352.48"
65,Arusha,Arusha DC, ILKERIN , EM.10715 ,"316,592.01","314,895.44","324,771.73","322,794.28","322,613.00","321,970.00","321,704.00","321,445.00","321,148.00","321,148.00","321,148.00","321,082.00","3,851,311.47"
66,Arusha,Arusha DC, ILKIDINGA , EM.1171 ,"809,874.50","805,534.49","800,529.38","796,662.33","796,216.00","794,627.00","793,972.00","793,331.00","792,599.00","792,599.00","792,599.00","792,437.00","9,560,980.70"
67,Arusha,Arusha DC, ILKISONGO , EM.15191 ,"516,081.25","513,315.65","544,157.31","540,844.09","540,541.00","539,462.00","539,017.00","538,583.00","538,085.00","538,085.00","538,085.00","537,975.00","6,424,231.30"
68,Arusha,Arusha DC, ILKIUREI , EM.10716 ,"419,704.63","417,455.50","435,731.18","435,596.03","435,352.00","434,483.00","434,125.00","433,775.00","433,374.00","433,374.00","433,374.00","433,286.00","5,179,630.34"
69,Arusha,Arusha DC, ILKONERE , EM.14309 ,"415,041.25","412,817.10","413,437.96","412,431.38","412,200.00","411,378.00","411,038.00","410,707.00","410,328.00","410,328.00","410,328.00","410,244.00","4,940,278.69"
70,Arusha,Arusha DC, ILKUROT , EM.6939 ,"645,619.72","642,159.94","610,023.65","606,309.39","605,969.00","604,760.00","604,262.00","603,774.00","603,217.00","603,217.00","603,217.00","603,093.00","7,335,621.69"
71,Arusha,Arusha DC, IMBIBIA , EM.5787 ,"538,880.02","535,992.24","496,024.22","495,018.38","494,741.00","493,754.00","493,346.00","492,949.00","492,493.00","492,493.00","492,493.00","492,393.00","6,010,576.86"
72,Arusha,Arusha DC, J K NYERERE , EM.10887 ,"401,569.25","399,417.30","382,531.44","386,748.84","386,532.00","385,761.00","385,443.00","385,132.00","384,776.00","384,776.00","384,776.00","384,697.00","4,652,159.83"
73,Arusha,Arusha DC, KAMBI YA MAZIWA , EM.6940 ,"873,089.27","868,410.51","609,010.32","608,827.28","608,486.00","607,272.00","606,771.00","606,282.00","605,722.00","605,722.00","605,722.00","605,598.00","7,810,912.38"
74,Arusha,Arusha DC, KIGONGONI , EM.4032 ,"219,697.24","218,519.91","214,825.61","214,021.17","213,901.00","213,474.00","213,298.00","213,126.00","212,929.00","212,929.00","212,929.00","212,886.00","2,572,535.93"
75,Arusha,Arusha DC, KIMNYAKI , EM.5788 ,"586,550.18","583,406.94","584,690.44","581,634.00","581,308.00","580,148.00","579,670.00","579,202.00","578,667.00","578,667.00","578,667.00","578,549.00","6,971,159.57"
76,Arusha,Arusha DC, KIOGA , EM.4577 ,"781,894.19","777,704.13","737,196.36","739,757.88","739,343.00","737,868.00","737,259.00","736,665.00","735,984.00","735,984.00","735,984.00","735,834.00","8,931,473.55"
77,Arusha,Arusha DC, KIRANYI , EM.13029 ,"345,608.63","343,756.56","313,625.12","314,737.01","314,561.00","313,933.00","313,674.00","313,421.00","313,132.00","313,132.00","313,132.00","313,068.00","3,825,780.32"
78,Arusha,Arusha DC, KISERIAN , EM.2011 ,"355,971.71","354,064.11","347,571.62","347,469.66","347,275.00","346,582.00","346,296.00","346,017.00","345,697.00","345,697.00","345,697.00","345,627.00","4,173,965.09"
79,Arusha,Arusha DC, KISONGO , EM.735 ,"384,988.32","382,925.23","386,078.09","384,734.53","384,519.00","383,752.00","383,435.00","383,126.00","382,772.00","382,772.00","382,772.00","382,694.00","4,604,568.17"
80,Arusha,Arusha DC, LAMOLOKI , EM.11082 ,"391,724.32","389,625.13","382,531.44","380,705.89","380,492.00","379,733.00","379,420.00","379,114.00","378,764.00","378,764.00","378,764.00","378,687.00","4,578,324.79"
81,Arusha,Arusha DC, LAROI , EM.6941 ,"224,360.63","223,158.31","217,865.59","216,539.07","216,418.00","215,986.00","215,808.00","215,634.00","215,435.00","215,435.00","215,435.00","215,391.00","2,607,465.59"
82,Arusha,Arusha DC, LEMANYATA , EM.2754 ,"523,853.56","521,046.30","519,837.43","520,700.92","520,409.00","519,371.00","518,942.00","518,524.00","518,045.00","518,045.00","518,045.00","517,939.00","6,234,758.21"
83,Arusha,Arusha DC, LEMINYOR , EM.6942 ,"510,381.56","507,646.50","496,024.22","493,004.06","492,728.00","491,744.00","491,339.00","490,943.00","490,489.00","490,489.00","490,489.00","490,389.00","5,935,666.33"
84,Arusha,Arusha DC, LEMUGUR , EM.3022 ,"368,925.55","366,948.53","354,158.25","352,001.88","351,805.00","351,103.00","350,813.00","350,530.00","350,206.00","350,206.00","350,206.00","350,135.00","4,247,038.22"
85,Arusha,Arusha DC, LENGIJAVE , EM.4033 ,"404,160.02","401,994.18","379,998.12","378,188.00","377,976.00","377,222.00","376,911.00","376,607.00","376,259.00","376,259.00","376,259.00","376,182.00","4,578,015.32"
86,Arusha,Arusha DC, LESIRAA , EM.4578 ,"207,261.55","206,150.86","198,105.69","197,403.06","197,292.00","196,899.00","196,736.00","196,578.00","196,396.00","196,396.00","196,396.00","196,356.00","2,381,970.15"
87,Arusha,Arusha DC, LIKAMBA , EM.4034 ,"295,347.71","293,764.98","292,345.22","290,565.21","290,402.00","289,823.00","289,584.00","289,350.00","289,083.00","289,083.00","289,083.00","289,024.00","3,487,455.12"
88,Arusha,Arusha DC, LOOVILUKUNYI , EM.5789 ,"334,727.40","332,933.64","310,585.13","310,708.38","310,534.00","309,915.00","309,659.00","309,409.00","309,123.00","309,123.00","309,123.00","309,060.00","3,764,900.55"
89,Arusha,Arusha DC, LORUVAN , EM.2343 ,"303,638.17","302,011.01","288,798.57","288,550.90","288,389.00","287,814.00","287,576.00","287,344.00","287,079.00","287,079.00","287,079.00","287,020.00","3,482,378.65"
90,Arusha,Arusha DC, LOSIKITO , EM.6943 ,"637,847.41","634,429.28","565,437.21","565,015.89","564,699.00","563,572.00","563,108.00","562,654.00","562,134.00","562,134.00","562,134.00","562,019.00","6,905,183.79"
91,Arusha,Arusha DC, LOSINONI , EM.4579 ,"484,992.02","482,393.02","351,624.93","349,483.98","349,288.00","348,591.00","348,304.00","348,023.00","347,701.00","347,701.00","347,701.00","347,630.00","4,453,432.95"
92,Arusha,Arusha DC, MAJIMOTO , EM.4580 ,"213,997.55","212,850.77","199,119.02","197,906.63","197,796.00","197,401.00","197,238.00","197,079.00","196,897.00","196,897.00","196,897.00","196,857.00","2,400,935.96"
93,Arusha,Arusha DC, MANYIRE , EM.6944 ,"309,337.86","307,680.16","307,545.15","309,197.64","309,024.00","308,408.00","308,153.00","307,905.00","307,620.00","307,620.00","307,620.00","307,558.00","3,697,668.81"
94,Arusha,Arusha DC, MARURANI , EM.4581 ,"209,852.32","208,727.75","214,825.61","213,517.59","213,398.00","212,972.00","212,796.00","212,625.00","212,428.00","212,428.00","212,428.00","212,385.00","2,548,383.26"
95,Arusha,Arusha DC, MATIM , EM.12374 ,"773,085.57","768,942.72","781,276.14","777,022.74","776,587.00","775,037.00","774,398.00","773,774.00","773,059.00","773,059.00","773,059.00","772,901.00","9,292,201.17"
96,Arusha,Arusha DC, MBUYUNI , EM.6945 ,"363,744.02","361,794.76","351,118.26","349,483.98","349,288.00","348,591.00","348,304.00","348,023.00","347,701.00","347,701.00","347,701.00","347,630.00","4,211,080.02"
97,Arusha,Arusha DC, MIDAWE , EM.4582 ,"302,601.86","300,980.26","299,438.52","297,615.32","297,448.00","296,855.00","296,610.00","296,371.00","296,097.00","296,097.00","296,097.00","296,037.00","3,572,247.96"
98,Arusha,Arusha DC, MIRONGOINE , EM.6946 ,"419,704.63","417,455.50","433,197.86","434,085.29","433,842.00","432,976.00","432,619.00","432,270.00","431,871.00","431,871.00","431,871.00","431,783.00","5,163,546.28"
99,Arusha,Arusha DC, MLANGARINI , EM.4035 ,"370,998.17","369,010.04","362,771.54","362,577.04","362,374.00","361,651.00","361,352.00","361,061.00","360,728.00","360,728.00","360,728.00","360,654.00","4,354,632.79"
100,Arusha,Arusha DC, MOIVO , EM.13030 ,"410,896.02","408,694.08","395,704.71","393,295.37","393,075.00","392,291.00","391,967.00","391,651.00","391,289.00","391,289.00","391,289.00","391,209.00","4,742,650.19"
101,Arusha,Arusha DC, MOKOLOI , EM.18184 ,"147,673.85","146,882.49","173,785.81","173,734.83","173,637.00","173,291.00","173,148.00","173,008.00","172,849.00","172,849.00","172,849.00","172,813.00","2,026,520.98"
102,Arusha,Arusha DC, MRINGA , EM.6947 ,"761,686.19","757,604.42","768,609.54","763,929.68","763,501.00","761,978.00","761,350.00","760,736.00","760,033.00","760,033.00","760,033.00","759,878.00","9,139,371.82"
103,Arusha,Arusha DC, MSHIKAMANO , EM.13506 ,"200,007.39","198,935.58","213,305.61","213,014.01","212,895.00","212,470.00","212,295.00","212,123.00","211,927.00","211,927.00","211,927.00","211,884.00","2,522,710.60"
104,Arusha,Arusha DC, MUNGUSHI , EM.5790 ,"359,080.63","357,156.37","348,584.94","347,469.66","347,275.00","346,582.00","346,296.00","346,017.00","345,697.00","345,697.00","345,697.00","345,627.00","4,181,179.61"
105,Arusha,Arusha DC, MUSA , EM.1172 ,"330,582.17","328,810.62","340,984.98","338,908.82","338,719.00","338,043.00","337,764.00","337,492.00","337,180.00","337,180.00","337,180.00","337,111.00","4,039,955.59"
106,Arusha,Arusha DC, MUUNGANO , EM.9230 ,"264,258.47","262,842.35","275,118.64","274,450.68","274,297.00","273,749.00","273,524.00","273,303.00","273,051.00","273,051.00","273,051.00","272,995.00","3,263,691.14"
107,Arusha,Arusha DC, MWANDETI , EM.1457 ,"604,685.56","601,445.14","629,783.55","625,948.97","625,598.00","624,350.00","623,835.00","623,332.00","622,756.00","622,756.00","622,756.00","622,629.00","7,449,875.23"
108,Arusha,Arusha DC, MZIMUNI , EM.7603 ,"320,737.24","319,018.46","331,865.03","335,383.76","335,196.00","334,527.00","334,251.00","333,982.00","333,673.00","333,673.00","333,673.00","333,605.00","3,979,584.49"
109,Arusha,Arusha DC, NAMBERE , EM.6948 ,"329,027.71","327,264.49","311,598.46","310,708.38","310,534.00","309,915.00","309,659.00","309,409.00","309,123.00","309,123.00","309,123.00","309,060.00","3,754,545.04"
