S/N,REGION,COUNCIL,SCHOOL NAME,Reg#,"July, 2022","Augut, 2022","September, 2022","October, 2022","November, 2022","December, 2022","January, 2023","February, 2023","March, 2023","April, 2023","May, 2023","June, 2023", TOTAL 
52,Arusha,Arusha DC,NDURUMA,S.679,"739,939.64","734,446.62","727,601.61","723,811.89","723,605.00","721,427.00","721,171.00","721,043.00","719,735.00","719,017.00","719,017.00","716,987.00","8,687,801.76"
53,Arusha,Arusha DC,NGIRESI,S.2808,"486,891.58","483,277.09","509,321.13","506,668.32","506,523.00","504,999.00","504,820.00","504,730.00","503,815.00","503,312.00","503,312.00","501,891.00","6,019,560.12"
54,Arusha,Arusha DC,OLDADAI,S.333,"901,483.72","894,791.45","865,631.92","861,123.26","860,877.00","858,286.00","857,981.00","857,829.00","856,273.00","855,419.00","855,419.00","853,004.00","10,378,118.35"
55,Arusha,Arusha DC,OLDONYOSAMBU,S.649,"758,014.51","752,387.30","470,801.04","468,348.87","468,215.00","466,806.00","466,640.00","466,557.00","465,711.00","465,246.00","465,246.00","463,933.00","6,177,905.72"
56,Arusha,Arusha DC,OLDONYOWASI,S.5111,"395,387.60","392,452.39","573,521.27","570,534.08","570,371.00","568,654.00","568,452.00","568,352.00","567,321.00","566,755.00","566,755.00","565,154.00","6,473,709.34"
57,Arusha,Arusha DC,OLEMEDEYE,S.4569,"507,225.80","503,460.35","503,971.12","501,346.18","501,203.00","499,695.00","499,517.00","499,429.00","498,522.00","498,025.00","498,025.00","496,619.00","6,007,038.45"
58,Arusha,Arusha DC,OLJORO,S.802,"616,804.65","612,225.73","598,131.32","595,015.95","594,846.00","593,056.00","592,845.00","592,740.00","591,665.00","591,075.00","591,075.00","589,405.00","7,158,884.66"
59,Arusha,Arusha DC,OLMOTONYI FOREST,S.4700,"1,059,638.76","1,051,772.41","1,010,082.24","1,004,821.21","1,004,534.00","1,001,511.00","1,001,155.00","1,000,978.00","999,162.00","998,165.00","998,165.00","995,347.00","12,125,331.61"
60,Arusha,Arusha DC,OLOKII,S.2499,"632,620.15","627,923.83","411,950.91","409,805.26","409,688.00","408,455.00","408,310.00","408,238.00","407,497.00","407,091.00","407,091.00","405,941.00","5,344,611.15"
61,Arusha,Arusha DC,OLTRUMET,S.2502,"381,831.45","378,996.88","346,680.77","344,875.08","344,776.00","343,739.00","343,617.00","343,556.00","342,933.00","342,591.00","342,591.00","341,623.00","4,197,810.18"
62,Arusha,Arusha DC,OSILIGI,S.3429,"395,387.60","392,452.39","395,900.88","393,838.82","393,726.00","392,541.00","392,402.00","392,332.00","391,621.00","391,230.00","391,230.00","390,125.00","4,712,786.69"
63,Arusha,Arusha DC,SAMBASHA,S.4774,"579,525.25","575,223.08","581,011.29","577,985.08","577,820.00","576,081.00","575,876.00","575,774.00","574,730.00","574,156.00","574,156.00","572,535.00","6,914,872.69"
